STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,ZIP,CNTY,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,LSABOUND,STARTDAT,ENDDATE,POPU_LSA,POPU_UND,CENTLIB,BRANLIB,BKMOB,TOTSTAFF,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,EC_LO_OT,SUBSCRIP,HRS_OPEN,VISITS,REFERENC,REGBOR,TOTCIR,KIDCIRCL,TOTPRO,GPTERMS,PITUSR,WIFISESS,OBEREG,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE
AK,AK0001,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD,ANCHOR POINT,99556,KENAI PENINSULA,9072355692,NO,NP,SO,Y,CI1,N,7/1/17,6/30/18,2057,2040,1,0,0,0.67,18201,0,179,0,3320,0,0,9,1245,6032,4,1726,11316,2294,60,8,1495,1182,08,00,00,00,-151.825,59.77965
AK,AK0002,AK0002-011,ANCHORAGE PUBLIC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,ANCHORAGE,9073432892,NO,CO,MO,Y,MA1,N,1/1/17,12/31/17,295365,292940,1,4,0,76.65,370812,21587,30963,12992,76404,0,14,7311,11400,723272,54306,135828,1574942,553651,1924,165,126846,90135,08,00,00,00,-149.876,61.18744
AK,AK0003,AK0003-002,ANDERSON COMMUNITY LIBRARY,101 FIRST STREET,ANDERSON,99744,DENALI,9075822628,NO,CI,SO,Y,CI1,N,7/1/17,6/30/18,269,267,1,0,0,0.75,15314,0,201,0,1403,0,0,0,480,592,300,113,1137,264,4,5,225,0,08,00,00,00,-149.187,64.34363
AK,AK0006,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,BETHEL,9075434516,NO,MJ,SO,Y,CI1,N,7/1/17,6/30/18,6135,6085,1,0,0,3,34860,21587,425,12992,3782,0,0,5,2040,51000,1530,1912,14067,3746,406,8,6600,5716,08,00,00,00,-161.771,60.79114
AK,AK0007,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,MATANUSKA-SUSITNA,9078617635,NO,CO,SO,Y,CO1,N,7/1/17,6/30/18,12847,12742,1,0,0,3,28698,21587,2140,12992,3805,0,0,47,2551,62249,887,2890,36670,15691,363,18,15022,8125,08,00,00,00,-149.819,61.5475
AK,AK0008,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,DENALI,9077682372,NO,NP,SO,Y,CI1,N,7/1/17,6/30/18,202,200,1,0,0,0.8,10376,21587,275,12992,562,0,0,15,720,2500,390,183,2828,1198,45,1,50,95,08,00,00,00,-148.9,63.3912
AK,AK0011,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,KODIAK ISLAND,9075120880,NO,NP,SO,N,CI1,N,7/1/17,6/30/18,44,44,1,0,0,0,2300,21587,0,12992,257,0,0,18,132,302,0,39,465,301,27,2,75,220,08,00,00,00,-152.231,57.61245
AK,AK0014,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,ALEUTIANS EAST,9075322878,NO,NP,SO,Y,CI1,N,7/1/17,6/30/18,63,62,1,0,0,0.25,3226,0,445,0,2673,0,0,0,400,1080,31,36,121,11,5,4,235,893,08,00,00,00,-160.693,55.69687
AK,AK0015,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,18511 BEAN CREEK ROAD,COOPER LANDING,99572,KENAI PENINSULA,9075951241,NO,NP,SO,N,CI1,N,7/1/17,6/30/18,265,263,1,0,0,0,4163,0,192,0,926,0,0,1,1092,2452,70,834,2232,772,11,4,395,357,08,00,00,00,-149.823,60.49404
AK,AK0016,AK0016-002,CORDOVA PUBLIC LIBRARY,601 FIRST STREET,CORDOVA,99574,VALDEZ-CORDOVA,9074246667,NO,CI,SO,Y,CI1,N,1/1/17,12/31/17,2360,2341,1,0,0,5,17888,21587,560,12992,1200,0,0,48,2575,20844,1024,2527,14435,4298,282,6,5357,6997,08,00,00,00,-145.758,60.54716
