STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,ZIP,CNTY,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,LSABOUND,STARTDAT,ENDDATE,POPU_LSA,POPU_UND,CENTLIB,BRANLIB,BKMOB,TOTSTAFF,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,EC_LO_OT,SUBSCRIP,HRS_OPEN,VISITS,REFERENC,REGBOR,TOTCIR,KIDCIRCL,TOTPRO,GPTERMS,PITUSR,WIFISESS,OBEREG,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE
AK,AK0001,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD,ANCHOR POINT,99556,KENAI PENINSULA,9072355692,NO,NP,SO,Y,CI1,N,7/1/16,6/30/17,2042,2042,1,0,0,0.67,18068,0,179,0,3527,0,0,9,1404,7333,425,1652,13589,2075,53,6,1281,1025,08,00,00,00,-151.825607,59.77965
AK,AK0002,AK0002-011,ANCHORAGE PUBLIC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,ANCHORAGE,9073432892,NO,CO,MO,Y,MA1,N,1/1/16,12/31/16,297483,297483,1,4,0,76.4,377039,19581,30977,11060,72471,0,14,716,10608,839170,62542,121500,1574575,400446,1793,165,124154,60000,08,00,00,00,-149.876823,61.187449
AK,AK0003,AK0003-002,ANDERSON COMMUNITY LIBRARY,101 FIRST STREET,ANDERSON,99744,DENALI,9075822628,NO,CI,SO,Y,CI1,N,7/1/16,6/30/17,273,273,1,0,0,0.75,15681,0,83,0,1351,0,0,0,480,1162,355,174,673,174,2,5,233,0,08,00,00,00,-149.187835,64.343638
AK,AK0006,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,BETHEL,9075434516,NO,MJ,SO,Y,CI1,N,7/1/16,6/30/17,6151,6151,1,0,0,2.5,34148,19581,530,8697,3454,0,0,0,840,46000,1440,1060,13257,3624,178,8,8720,-1,08,00,00,00,-161.771054,60.791143
AK,AK0007,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,MATANUSKA-SUSITNA,9078617635,NO,CO,SO,Y,CO1,N,7/1/16,6/30/17,11391,11391,1,0,0,3,27400,19581,2078,11060,3604,0,0,53,2551,63981,947,3749,51503,9732,423,21,13655,7386,08,00,00,00,-149.81979,61.5475
AK,AK0008,AK0008-002,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,DENALI,9077682372,NO,NP,SO,Y,CI1,N,7/1/16,6/30/17,191,191,1,0,0,0.8,10099,19581,337,11060,487,0,0,14,720,3000,400,161,3258,1420,47,1,25,100,08,00,00,00,-148.900568,63.391202
AK,AK0011,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,KODIAK ISLAND,9075120880,NO,NP,SO,N,CI1,N,7/1/16,6/30/17,44,44,1,0,0,0,2000,19581,0,11060,350,0,0,0,144,320,0,40,317,201,24,1,58,262,08,00,00,00,-152.231294,57.612456
AK,AK0014,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,ALEUTIANS EAST,9075322878,NO,NP,SO,N,CI1,N,7/1/16,6/30/17,72,72,1,0,0,0,7232,7,181,0,4176,0,0,17,622,494,25,142,1737,263,39,4,616,227,08,00,00,00,-160.693051,55.696879
AK,AK0015,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,18511 BEAN CREEK ROAD,COOPER LANDING,99572,KENAI PENINSULA,9075951241,NO,NP,SO,N,CI1,N,7/1/16,6/30/17,258,258,1,0,0,0,3949,0,192,0,909,0,0,0,1092,2385,100,800,2753,1050,44,4,405,329,08,00,00,00,-149.823577,60.494046
AK,AK0016,AK0016-002,CORDOVA PUBLIC LIBRARY,601 FIRST STREET,CORDOVA,99574,VALDEZ-CORDOVA,9074246667,NO,CI,SO,Y,CI1,N,1/1/16,12/31/16,2279,2279,1,0,0,5,17963,19581,555,11060,1108,0,0,27,2588,23363,2268,2450,13149,3525,288,6,6307,7604,08,00,00,00,-145.758972,60.547169
AK,AK0017,AK0017-003,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,PR WALES-OUTER KE,9078263281,NO,CI,SO,Y,CI1,N,7/1/16,6/30/17,1089,1089,1,0,0,1.6,10661,19581,253,11060,3424,0,0,74,1924,18733,2288,2553,33753,9329,154,4,4221,2712,08,00,00,00,-133.151431,55.476079
AK,AK0018,AK0018-002,IPNATCHIAQ LIBRARY,59 MAIN STREET,DEERING,99736,NORTHWEST ARCTIC,9073632136,NO,CI,SO,Y,CI1,N,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,08,23,00,00,-162.719672,66.076015
AK,AK0019,AK0019-002,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,SE FAIRBANK,9078954102,NO,CI,SO,Y,CI1,N,7/1/16,6/30/17,1195,1195,1,0,0,2.8,11055,19581,782,11060,4173,0,1,11,2392,48071,520,6459,66911,11082,193,7,6099,25550,08,00,00,00,-145.734419,64.046834
AK,AK0020,AK0020-002,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,DILLINGHAM,9078425610,NO,CI,SO,Y,CI1,N,7/1/16,6/30/17,2335,2335,1,0,0,1.7,26490,19581,1086,11060,5985,0,0,65,1639,30570,2000,2117,29354,391,243,10,8733,6839,08,00,00,00,-158.463622,59.040735
AK,AK0021,AK0021-002,EAGLE PUBLIC LIBRARY,4TH & AMUNDSEN,EAGLE,99738,SE FAIRBANK,9075472334,NO,NP,SO,Y,CI1,N,7/1/16,6/30/17,79,79,1,0,0,0.88,9198,19581,735,11060,4848,0,0,40,700,2500,50,300,6089,8,9,7,4000,5000,08,00,00,00,-141.201518,64.786619
AK,AK0023,AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,1215 COWLES STREET,FAIRBANKS,99701,FAIRBANKS NORTH STAR,9074591022,NO,CO,MO,Y,CO1,N,7/1/16,6/30/17,97738,97738,1,1,1,47.6,308490,226075,25852,343678,40747,14948,18,471,6787,389741,102796,48658,704672,258753,793,43,56901,0,08,00,00,00,-147.738133,64.838939
AK,AK0025,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI ROAD,GALENA,99741,YUKON-KOYUKUK,9076561883,NO,CI,SO,Y,CI1,N,7/1/16,6/30/17,472,472,1,0,0,0.38,9526,0,0,0,673,0,0,37,750,3163,129,549,6464,2347,239,2,513,0,08,00,00,00,-156.878295,64.745865
AK,AK0027,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,VALDEZ-CORDOVA,9078225427,NO,NP,SO,N,CI1,N,7/1/16,6/30/17,465,465,1,0,0,0,19754,19581,1045,11060,3744,0,0,15,1581,7480,1576,701,14730,2602,67,6,1722,9812,08,00,00,00,-145.561267,62.109444
AK,AK0028,AK0028-002,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,99826,SKAGWAY-ANGOON,9076972350,NO,CI,SO,Y,CI1,N,7/1/16,6/30/17,544,544,1,0,0,1,15823,19581,251,11060,1808,0,0,19,1300,9871,275,787,12274,3142,210,5,1820,4940,08,00,00,00,-135.706422,58.420538
AK,AK0029,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,HAINES,9077662545,NO,CO,SO,Y,CO1,N,7/1/16,6/30/17,2459,2459,1,0,0,5.78,32867,19581,2166,11060,5349,0,0,96,2912,90956,6128,2554,81105,20702,520,12,13795,33575,08,00,00,00,-135.44801,59.233462
AK,AK0030,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,99743,DENALI,9076832507,NO,NP,SO,Y,CI1,N,7/1/16,6/30/17,1082,1082,1,0,0,0.6,27157,19581,699,11060,1819,0,1,16,980,5152,500,990,16993,364,63,9,796,316,08,00,00,00,-149.018245,63.873505
AK,AK0031,AK0031-002,HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS CHILKAT ROAD,HOLLIS,99950,PR WALES-OUTER KE,9075307112,NO,NP,SO,N,CI1,N,7/1/16,6/30/17,128,128,1,0,0,0,16909,19581,142,0,986,0,1,11,1008,1371,82,550,1902,554,60,6,362,780,08,00,00,00,-133.075907,55.781881
AK,AK0032,AK0032-002,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603,KENAI PENINSULA,9072353180,NO,CI,SO,Y,CI1,N,1/1/16,12/31/16,5313,5313,1,0,0,7.9,42065,19688,1846,11143,3711,0,14,158,2704,141159,20046,10301,163688,55350,424,23,28768,24818,08,00,00,00,-151.532422,59.643721
AK,AK0033,AK0033-002,HOPE COMMUNITY LIBRARY,18487 A AVENUE,HOPE,99605,KENAI PENINSULA,9077823121,NO,NP,SO,N,CI1,N,7/1/16,6/30/17,211,211,1,0,0,0,6078,0,63,0,1414,0,0,6,1204,1846,180,189,1557,333,30,1,178,99,08,00,00,00,-149.64143,60.91846
AK,AK0035,AK0035-004,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,99801,JUNEAU,9075860443,NO,CO,MO,Y,CO1,N,7/1/16,6/30/17,32269,32269,1,2,0,22.6,117093,14008,5670,12651,6323,0,6,385,7500,204522,55834,25718,210004,80626,641,71,63836,108040,08,00,00,00,-134.403929,58.298487
AK,AK0037,AK0037-002,KASILOF PUBLIC LIBRARY,58231 STERLING HIGHWAY,KASILOF,99610,KENAI PENINSULA,9072525886,NO,NP,SO,Y,CI1,N,7/1/16,6/30/17,561,561,1,0,0,0.4,13838,0,196,0,424,0,0,31,768,3792,375,143,5459,1409,8,7,340,1632,08,00,00,00,-151.266514,60.308055
AK,AK0038,AK0038-002,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,KENAI PENINSULA,9072834378,NO,CI,SO,Y,CI1,N,7/1/16,6/30/17,7038,7038,1,0,0,8.1,79328,19597,1583,11064,4049,0,1,113,2993,90527,4426,11997,103533,29538,392,40,14517,18250,08,00,00,00,-151.246177,60.559086
AK,AK0039,AK0039-002,KETCHIKAN PUBLIC LIBRARY,1110 COPPER RIDGE LANE,KETCHIKAN,99901,KETCHIKAN GATEWAY,9072253331,NO,CO,SO,Y,CO1,N,1/1/16,12/31/16,13754,13754,1,0,0,11.08,59063,19581,5524,11060,7071,0,5,166,3016,91870,8760,8039,134794,61080,602,26,6275,5496,08,00,00,00,-131.651574,55.348632
AK,AK0040,AK0040-002,KODIAK PUBLIC LIBRARY,612 EGAN WAY,KODIAK,99615,KODIAK ISLAND,9074868686,NO,CI,SO,Y,CI2,N,7/1/16,6/30/17,12922,12922,1,0,0,7,68362,19820,2535,18053,2785,0,4,139,3432,185350,4873,10312,82067,33531,338,41,15693,14772,08,00,00,00,-152.397552,57.792618
AK,AK0041,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,NORTHWEST ARCTIC,9074422410,NO,MJ,MO,Y,CI2,N,7/1/16,6/30/17,4015,4015,1,1,0,1.5,20326,0,273,0,2378,0,0,80,1800,23000,900,585,4534,200,6,18,1810,3150,08,00,00,00,-162.58742,66.899303
AK,AK0044,AK0044-002,MCGRATH COMMUNITY LIBRARY,249 F STREET,MCGRATH,99627,YUKON-KOYUKUK,9075243843,NO,NP,SO,Y,CI1,N,7/1/16,6/30/17,295,295,1,0,0,0.75,11000,13000,15,10445,900,0,0,22,1196,4089,275,335,2926,600,49,11,950,2000,08,00,00,00,-155.277642,62.907723
